fichier,nb_officiel_removed,nb_exact_internal_removed,nb_caf_link_added,status
aah\index.html,4,2,1,CLEAN
aah.html,4,2,1,CLEAN
aide\aide-financiere-famille\index.html,2,2,0,CLEAN
aide\aide-financiere-famille.html,2,2,0,CLEAN
aide\aide-logement-proprietaire\index.html,2,2,0,CLEAN
aide\aide-logement-proprietaire.html,2,2,0,CLEAN
aide\aide-sociale-simulation-globale\index.html,3,2,0,CLEAN
aide\aide-sociale-simulation-globale.html,3,2,0,CLEAN
aide\aides-etudiants\index.html,2,2,0,CLEAN
aide\aides-etudiants.html,2,2,0,CLEAN
aide\aides-jeunes-actifs\index.html,2,2,0,CLEAN
aide\aides-jeunes-actifs.html,2,2,0,CLEAN
aide\aides-retraites\index.html,2,2,0,CLEAN
aide\aides-retraites.html,2,2,0,CLEAN
aide\allocation-logement-simulation\index.html,4,2,1,CLEAN
aide\allocation-logement-simulation.html,4,2,1,CLEAN
aide\cumul-aides-sociales\index.html,3,2,0,CLEAN
aide\cumul-aides-sociales.html,3,2,0,CLEAN
aide\index.html,5,2,1,CLEAN
aide\quelles-aides-ai-je-droit\index.html,3,2,0,CLEAN
aide\quelles-aides-ai-je-droit.html,3,2,0,CLEAN
aide\simulation-aides-caf\index.html,2,2,0,CLEAN
aide\simulation-aides-caf.html,2,2,0,CLEAN
apl\apl-colocation\index.html,2,2,0,CLEAN
apl\apl-colocation.html,2,2,0,CLEAN
apl\apl-proprietaire-ai-je-droit\index.html,2,2,0,CLEAN
apl\apl-proprietaire-ai-je-droit.html,2,2,0,CLEAN
apl\apl-refusee-que-faire\index.html,2,2,0,CLEAN
apl\apl-refusee-que-faire.html,2,2,0,CLEAN
apl\comment-savoir-si-un-logement-est-eligible-aux-apl\index.html,3,2,0,CLEAN
apl\comment-savoir-si-un-logement-est-eligible-aux-apl.html,3,2,0,CLEAN
apl\index.html,10,5,1,CLEAN
apl\quelles-ressources-pour-l-apl\index.html,2,2,0,CLEAN
apl\quelles-ressources-pour-l-apl.html,2,2,0,CLEAN
apl-dom-tom.html,5,2,1,CLEAN
apl-etudiant.html,4,2,1,CLEAN
apl-zones.html,4,4,0,CLEAN
apl.html,10,5,1,CLEAN
are\index.html,7,4,1,CLEAN
are.html,7,4,1,CLEAN
asf\index.html,4,2,1,CLEAN
asf.html,4,2,1,CLEAN
blog\departements\frais-notaire-01.html,8,4,1,CLEAN
blog\departements\frais-notaire-02.html,8,4,1,CLEAN
blog\departements\frais-notaire-03.html,9,4,1,CLEAN
blog\departements\frais-notaire-04.html,8,4,1,CLEAN
blog\departements\frais-notaire-05.html,9,4,1,CLEAN
blog\departements\frais-notaire-06.html,9,4,1,CLEAN
blog\departements\frais-notaire-07.html,8,4,1,CLEAN
blog\departements\frais-notaire-08.html,8,4,1,CLEAN
blog\departements\frais-notaire-09.html,8,4,1,CLEAN
blog\departements\frais-notaire-10.html,7,4,1,CLEAN
blog\departements\frais-notaire-11.html,8,4,1,CLEAN
blog\departements\frais-notaire-12.html,7,4,1,CLEAN
blog\departements\frais-notaire-13.html,7,4,1,CLEAN
blog\departements\frais-notaire-14.html,7,4,1,CLEAN
blog\departements\frais-notaire-15.html,7,4,1,CLEAN
blog\departements\frais-notaire-16.html,7,4,1,CLEAN
blog\departements\frais-notaire-17.html,7,4,1,CLEAN
blog\departements\frais-notaire-18.html,7,4,1,CLEAN
blog\departements\frais-notaire-19.html,8,4,1,CLEAN
blog\departements\frais-notaire-21.html,7,4,1,CLEAN
blog\departements\frais-notaire-22.html,7,4,1,CLEAN
blog\departements\frais-notaire-23.html,7,4,1,CLEAN
blog\departements\frais-notaire-24.html,7,4,1,CLEAN
blog\departements\frais-notaire-25.html,7,4,1,CLEAN
blog\departements\frais-notaire-26.html,7,4,1,CLEAN
blog\departements\frais-notaire-27.html,7,4,1,CLEAN
blog\departements\frais-notaire-28.html,7,4,1,CLEAN
blog\departements\frais-notaire-29.html,7,4,1,CLEAN
blog\departements\frais-notaire-2A.html,7,4,1,CLEAN
blog\departements\frais-notaire-2B.html,7,4,1,CLEAN
blog\departements\frais-notaire-30.html,7,4,1,CLEAN
blog\departements\frais-notaire-31.html,7,4,1,CLEAN
blog\departements\frais-notaire-32.html,7,4,1,CLEAN
blog\departements\frais-notaire-33.html,7,4,1,CLEAN
blog\departements\frais-notaire-34.html,8,4,1,CLEAN
blog\departements\frais-notaire-35.html,7,4,1,CLEAN
blog\departements\frais-notaire-36.html,7,4,1,CLEAN
blog\departements\frais-notaire-37.html,7,4,1,CLEAN
blog\departements\frais-notaire-38.html,8,4,1,CLEAN
blog\departements\frais-notaire-39.html,7,4,1,CLEAN
blog\departements\frais-notaire-40.html,7,4,1,CLEAN
blog\departements\frais-notaire-41.html,7,4,1,CLEAN
blog\departements\frais-notaire-42.html,7,4,1,CLEAN
blog\departements\frais-notaire-43.html,7,4,1,CLEAN
blog\departements\frais-notaire-44.html,7,4,1,CLEAN
blog\departements\frais-notaire-45.html,7,4,1,CLEAN
blog\departements\frais-notaire-46.html,7,4,1,CLEAN
blog\departements\frais-notaire-47.html,7,4,1,CLEAN
blog\departements\frais-notaire-48.html,7,4,1,CLEAN
blog\departements\frais-notaire-49.html,7,4,1,CLEAN
blog\departements\frais-notaire-50.html,7,4,1,CLEAN
blog\departements\frais-notaire-51.html,7,4,1,CLEAN
blog\departements\frais-notaire-52.html,7,4,1,CLEAN
blog\departements\frais-notaire-53.html,7,4,1,CLEAN
blog\departements\frais-notaire-54.html,7,4,1,CLEAN
blog\departements\frais-notaire-55.html,7,4,1,CLEAN
blog\departements\frais-notaire-56.html,8,4,1,CLEAN
blog\departements\frais-notaire-57.html,7,4,1,CLEAN
blog\departements\frais-notaire-58.html,7,4,1,CLEAN
blog\departements\frais-notaire-59.html,7,4,1,CLEAN
blog\departements\frais-notaire-60.html,7,4,1,CLEAN
blog\departements\frais-notaire-61.html,7,4,1,CLEAN
blog\departements\frais-notaire-62.html,7,4,1,CLEAN
blog\departements\frais-notaire-63.html,7,4,1,CLEAN
blog\departements\frais-notaire-64.html,7,4,1,CLEAN
blog\departements\frais-notaire-65.html,7,4,1,CLEAN
blog\departements\frais-notaire-66.html,7,4,1,CLEAN
blog\departements\frais-notaire-67.html,7,4,1,CLEAN
blog\departements\frais-notaire-68.html,7,4,1,CLEAN
blog\departements\frais-notaire-69.html,7,4,1,CLEAN
blog\departements\frais-notaire-70.html,7,4,1,CLEAN
blog\departements\frais-notaire-71.html,7,4,1,CLEAN
blog\departements\frais-notaire-72.html,7,4,1,CLEAN
blog\departements\frais-notaire-73.html,7,4,1,CLEAN
blog\departements\frais-notaire-74.html,7,4,1,CLEAN
blog\departements\frais-notaire-75.html,7,4,1,CLEAN
blog\departements\frais-notaire-76.html,7,4,1,CLEAN
