fichier,simulateur_type,schema_added,already_present,head_tag_found
aah\index.html,APL,NON,OUI,OUI
aah.html,APL,NON,OUI,OUI
aide\aide-financiere-famille\index.html,APL,NON,OUI,OUI
aide\aide-financiere-famille.html,APL,NON,OUI,OUI
aide\aide-logement-proprietaire\index.html,APL,NON,OUI,OUI
aide\aide-logement-proprietaire.html,APL,NON,OUI,OUI
aide\aide-sociale-simulation-globale\index.html,APL,NON,OUI,OUI
aide\aide-sociale-simulation-globale.html,APL,NON,OUI,OUI
aide\aides-etudiants\index.html,APL,NON,OUI,OUI
aide\aides-etudiants.html,APL,NON,OUI,OUI
aide\aides-jeunes-actifs\index.html,APL,NON,OUI,OUI
aide\aides-jeunes-actifs.html,APL,NON,OUI,OUI
aide\aides-retraites\index.html,APL,OUI,NON,OUI
aide\aides-retraites.html,APL,OUI,NON,OUI
aide\allocation-logement-simulation\index.html,APL,NON,OUI,OUI
aide\allocation-logement-simulation.html,APL,NON,OUI,OUI
aide\cumul-aides-sociales\index.html,APL,NON,OUI,OUI
aide\cumul-aides-sociales.html,APL,NON,OUI,OUI
aide\index.html,APL,NON,OUI,OUI
aide\quelles-aides-ai-je-droit\index.html,APL,OUI,NON,OUI
aide\quelles-aides-ai-je-droit.html,APL,OUI,NON,OUI
aide\simulation-aides-caf\index.html,APL,NON,OUI,OUI
aide\simulation-aides-caf.html,APL,NON,OUI,OUI
apl\apl-colocation\index.html,APL,NON,OUI,OUI
apl\apl-colocation.html,APL,NON,OUI,OUI
apl\apl-proprietaire-ai-je-droit\index.html,APL,NON,OUI,OUI
apl\apl-proprietaire-ai-je-droit.html,APL,NON,OUI,OUI
apl\apl-refusee-que-faire\index.html,APL,NON,OUI,OUI
apl\apl-refusee-que-faire.html,APL,NON,OUI,OUI
apl\comment-savoir-si-un-logement-est-eligible-aux-apl\index.html,APL,NON,OUI,OUI
apl\comment-savoir-si-un-logement-est-eligible-aux-apl.html,APL,NON,OUI,OUI
apl\index.html,APL,NON,OUI,OUI
apl\quelles-ressources-pour-l-apl\index.html,APL,NON,OUI,OUI
apl\quelles-ressources-pour-l-apl.html,APL,NON,OUI,OUI
apl-dom-tom.html,APL,NON,OUI,OUI
apl-etudiant.html,APL,NON,OUI,OUI
apl-zones.html,APL,NON,OUI,OUI
apl.html,APL,NON,OUI,OUI
are\index.html,APL,NON,OUI,OUI
are.html,APL,NON,OUI,OUI
asf\index.html,APL,NON,OUI,OUI
asf.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-01.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-02.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-03.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-04.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-05.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-06.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-07.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-08.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-09.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-10.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-11.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-12.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-13.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-14.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-15.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-16.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-17.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-18.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-19.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-21.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-22.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-23.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-24.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-25.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-26.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-27.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-28.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-29.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-2A.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-2B.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-30.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-31.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-32.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-33.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-34.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-35.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-36.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-37.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-38.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-39.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-40.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-41.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-42.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-43.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-44.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-45.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-46.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-47.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-48.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-49.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-50.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-51.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-52.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-53.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-54.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-55.html,APL,NON,OUI,OUI
blog\departements\frais-notaire-56.html,APL,NON,OUI,OUI
