fichier,simulateur_type,faq_schema_added,verbal_legend_added,backend_kept,h1_unchanged
apl.html,APL,OUI,OUI,OUI,OUI
apl/index.html,APL,OUI,OUI,OUI,OUI
apl/apl-etudiant.html,APL,OUI,OUI,OUI,OUI
apl/apl-dom-tom.html,APL,OUI,OUI,OUI,OUI
impot.html,IMPOT,OUI,OUI,OUI,OUI
impot/index.html,IMPOT,OUI,OUI,OUI,OUI
impot/calcul-impot-sur-le-revenu.html,IMPOT,OUI,OUI,OUI,OUI
impot/calcul-impot-sur-le-revenu/index.html,IMPOT,OUI,OUI,OUI,OUI
notaire.html,NOTAIRE,OUI,OUI,OUI,OUI
rsa.html,RSA,OUI,OUI,OUI,OUI
rsa/index.html,RSA,OUI,OUI,OUI,OUI
rsa/combien-touche-t-on-au-rsa.html,RSA,OUI,OUI,OUI,OUI
salaire.html,SALAIRE,OUI,OUI,OUI,OUI
salaire/index.html,SALAIRE,OUI,OUI,OUI,OUI
prime-activite.html,PRIME,OUI,OUI,OUI,OUI
blog/departements/frais-notaire-75.html,NOTAIRE,OUI,OUI,OUI,OUI
blog/departements/frais-notaire-13.html,NOTAIRE,OUI,OUI,OUI,OUI
blog/departements/frais-notaire-69.html,NOTAIRE,OUI,OUI,OUI,OUI
plusvalue.html,PLUSVALUE,OUI,OUI,OUI,OUI
plusvalue/calcul-plus-value-immobiliere.html,PLUSVALUE,OUI,OUI,OUI,OUI
taxe.html,TAXE,OUI,OUI,OUI,OUI
taxe-fonciere/index.html,TAXE,OUI,OUI,OUI,OUI
pret.html,PRET,OUI,OUI,OUI,OUI
pret/calcul-du-taux-d-endettement.html,PRET,OUI,OUI,OUI,OUI
ik.html,IK,OUI,OUI,OUI,OUI
ik/index.html,IK,OUI,OUI,OUI,OUI
aah.html,APL,OUI,OUI,OUI,OUI
aah/index.html,APL,OUI,OUI,OUI,OUI
are.html,APL,OUI,OUI,OUI,OUI
asf.html,APL,OUI,OUI,OUI,OUI
simulateurs.html,APL,OUI,OUI,OUI,OUI
simulateurs/index.html,APL,OUI,OUI,OUI,OUI
