fichier,simulateur_type,has_sticky_banner,has_faq_schema,has_verbalized_legend,has_officiel_link,backend_chiffre_kept,h1_unchanged,action_done
aah\index.html,PRIME,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation PRIME
aah.html,PRIME,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation PRIME
aide\allocation-logement-simulation\index.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
aide\allocation-logement-simulation.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
aide\index.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
apl\index.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
apl-dom-tom.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
apl-etudiant.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
apl.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
are\index.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
are.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
asf\index.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
asf.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
blog\departements\frais-notaire-01.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-02.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-03.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-04.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-05.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-06.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-07.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-08.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
